onset	duration	scoring_idx	scoring
24596.02	30	4	N2
24626.02	30	4	N2
24656.02	30	4	N2
24686.02	30	3	N1
24716.02	30	3	N1
24746.02	30	3	N1
24776.02	30	3	N1
24806.02	30	3	N1
24836.02	30	1	Wake
24866.02	30	3	N1
24896.02	30	3	N1
24926.02	30	1	Wake
24956.02	30	3	N1
24986.02	30	3	N1
25016.02	30	1	Wake
25046.02	30	3	N1
25076.02	30	4	N2
25106.02	30	4	N2
25136.02	30	4	N2
25166.02	30	4	N2
25196.02	30	4	N2
25226.02	30	4	N2
25256.02	30	3	N1
25286.02	30	4	N2
25316.02	30	4	N2
25346.02	30	4	N2
25376.02	30	4	N2
25406.02	30	4	N2
25436.02	30	4	N2
25466.02	30	4	N2
25496.02	30	4	N2
25526.02	30	3	N1
25556.02	30	4	N2
25586.02	30	4	N2
25616.02	30	4	N2
25646.02	30	4	N2
25676.02	30	4	N2
25706.02	30	4	N2
25736.02	30	4	N2
25766.02	30	4	N2
25796.02	30	3	N1
25826.02	30	4	N2
25856.02	30	4	N2
25886.02	30	4	N2
25916.02	30	4	N2
25946.02	30	3	N1
25976.02	30	4	N2
26006.02	30	4	N2
26036.02	30	4	N2
26066.02	30	4	N2
26096.02	30	3	N1
26126.02	30	1	Wake
26156.02	30	1	Wake
26186.02	30	1	Wake
26216.02	30	1	Wake
26246.02	30	1	Wake
26276.02	30	1	Wake
26306.02	30	1	Wake
26336.02	30	1	Wake
26366.02	30	1	Wake
26396.02	30	3	N1
26426.02	30	3	N1
26456.02	30	3	N1
26486.02	30	3	N1
26516.02	30	3	N1
26546.02	30	3	N1
26576.02	30	3	N1
26606.02	30	3	N1
26636.02	30	3	N1
26666.02	30	3	N1
26696.02	30	3	N1
26726.02	30	3	N1
26756.02	30	3	N1
26786.02	30	1	Wake
26816.02	30	3	N1
26846.02	30	3	N1
26876.02	30	4	N2
26906.02	30	3	N1
26936.02	30	3	N1
26966.02	30	4	N2
26996.02	30	4	N2
27026.02	30	4	N2
27056.02	30	4	N2
27086.02	30	4	N2
27116.02	30	4	N2
27146.02	30	4	N2
27176.02	30	4	N2
27206.02	30	4	N2
27236.02	30	4	N2
27266.02	30	3	N1
27296.02	30	4	N2
27326.02	30	4	N2
27356.02	30	4	N2
27386.02	30	4	N2
27416.02	30	4	N2
27446.02	30	2	REM
27476.02	30	2	REM
27506.02	30	2	REM
27536.02	30	2	REM
27566.02	30	2	REM
27596.02	30	2	REM
27626.02	30	2	REM
27656.02	30	2	REM
27686.02	30	2	REM
27716.02	30	2	REM
27746.02	30	2	REM
27776.02	30	2	REM
27806.02	30	2	REM
27836.02	30	2	REM
27866.02	30	2	REM
27896.02	30	2	REM
27926.02	30	2	REM
27956.02	30	2	REM
27986.02	30	2	REM
28016.02	30	2	REM
28046.02	30	2	REM
28076.02	30	2	REM
28106.02	30	2	REM
28136.02	30	2	REM
28166.02	30	2	REM
28196.02	30	2	REM
28226.02	30	2	REM
28256.02	30	2	REM
28286.02	30	2	REM
28316.02	30	2	REM
28346.02	30	2	REM
28376.02	30	2	REM
28406.02	30	2	REM
28436.02	30	2	REM
28466.02	30	2	REM
28496.02	30	2	REM
28526.02	30	2	REM
28556.02	30	2	REM
28586.02	30	2	REM
28616.02	30	2	REM
28646.02	30	2	REM
28676.02	30	2	REM
28706.02	30	2	REM
28736.02	30	2	REM
28766.02	30	2	REM
28796.02	30	2	REM
28826.02	30	2	REM
28856.02	30	2	REM
28886.02	30	2	REM
28916.02	30	2	REM
28946.02	30	2	REM
28976.02	30	2	REM
29006.02	30	2	REM
29036.02	30	2	REM
29066.02	30	2	REM
29096.02	30	2	REM
29126.02	30	2	REM
29156.02	30	2	REM
29186.02	30	2	REM
29216.02	30	2	REM
29246.02	30	2	REM
29276.02	30	2	REM
29306.02	30	2	REM
29336.02	30	2	REM
29366.02	30	2	REM
29396.02	30	2	REM
29426.02	30	2	REM
29456.02	30	2	REM
29486.02	30	2	REM
29516.02	30	2	REM
29546.02	30	2	REM
29576.02	30	2	REM
29606.02	30	2	REM
29636.02	30	2	REM
29666.02	30	2	REM
29696.02	30	2	REM
29726.02	30	2	REM
29756.02	30	2	REM
29786.02	30	2	REM
29816.02	30	2	REM
29846.02	30	2	REM
29876.02	30	2	REM
29906.02	30	2	REM
29936.02	30	2	REM
29966.02	30	2	REM
29996.02	30	2	REM
30026.02	30	2	REM
30056.02	30	2	REM
30086.02	30	1	Wake
30116.02	30	3	N1
30146.02	30	4	N2
30176.02	30	4	N2
30206.02	30	4	N2
30236.02	30	4	N2
30266.02	30	4	N2
30296.02	30	4	N2
30326.02	30	4	N2
30356.02	30	4	N2
30386.02	30	4	N2
30416.02	30	4	N2
30446.02	30	4	N2
30476.02	30	4	N2
30506.02	30	4	N2
30536.02	30	4	N2
30566.02	30	4	N2
30596.02	30	4	N2
30626.02	30	4	N2
30656.02	30	4	N2
30686.02	30	4	N2
30716.02	30	4	N2
30746.02	30	4	N2
30776.02	30	4	N2
30806.02	30	4	N2
30836.02	30	4	N2
30866.02	30	4	N2
30896.02	30	4	N2
30926.02	30	4	N2
30956.02	30	4	N2
30986.02	30	4	N2
31016.02	30	4	N2
31046.02	30	4	N2
31076.02	30	4	N2
31106.02	30	4	N2
31136.02	30	4	N2
31166.02	30	4	N2
31196.02	30	4	N2
31226.02	30	4	N2
31256.02	30	4	N2
31286.02	30	4	N2
31316.02	30	4	N2
31346.02	30	4	N2
31376.02	30	4	N2
31406.02	30	4	N2
31436.02	30	4	N2
31466.02	30	4	N2
31496.02	30	4	N2
31526.02	30	4	N2
31556.02	30	4	N2
31586.02	30	3	N1
31616.02	30	3	N1
31646.02	30	4	N2
31676.02	30	4	N2
31706.02	30	4	N2
31736.02	30	1	Wake
31766.02	30	3	N1
31796.02	30	1	Wake
31826.02	30	1	Wake
31856.02	30	1	Wake
